id,fund_report_id,company_id,company_name,report_date,investment_date,invested_capital,enterprise_value,equity_value,debt,valuation_basis,valuation_multiple,revenue,ebitda,realized_value,unrealized_value,total_value,thesis_commentary,irr,status
bf3697a8-2e83-469c-9487-2a88f7748dbf,775f5206-3c7d-40f2-9372-69029572dd34,2c3819c7-9805-4ada-a862-6ce6e8c09316,Workday,2022-10-01,2022-10-01,2430000.0,36004295.18,27369887.6,8634407.59,EBITDA,10.86,10120000.0,3313905.33,0.0,27369887.6,27369887.6,Q update for Workday,5.0000,Unrealized
d5d3dfe1-4c93-487f-9f83-251227273aee,775f5206-3c7d-40f2-9372-69029572dd34,e2f1256a-84c2-4649-bdc8-a33bd4c93c53,Klarna,2022-10-01,2022-10-01,42490000.0,266604516.11,166101367.59,100503148.52,Revenue,6.67,39960000.0,11356692.95,0.0,166101367.59,166101367.59,Q update for Klarna,5.0000,Unrealized
dde7bcaf-96d8-49b5-bef2-07194ebe0d4d,3f238773-cfa3-4ace-adb2-dcd310533036,2c3819c7-9805-4ada-a862-6ce6e8c09316,Workday,2023-01-01,2022-10-01,2430000.0,37190361.28,23315104.46,13875256.82,EBITDA,11.26,10603883.18,3301520.67,0.0,23315104.46,23315104.46,Q update for Workday,5.0000,Unrealized
fca6372f-3530-41c6-ba5f-c2848630fac0,3f238773-cfa3-4ace-adb2-dcd310533036,e2f1256a-84c2-4649-bdc8-a33bd4c93c53,Klarna,2023-01-01,2022-10-01,45040000.0,259170975.31,138661029.73,120509945.59,Revenue,6.28,41257794.6,7679298.93,0.0,138661029.73,138661029.73,Q update for Klarna,5.0000,Unrealized
5d2b2dd0-d799-4e95-a5cf-5b74c3cd24d7,520092e3-3029-4b4d-9845-0926daf3ef4c,2c3819c7-9805-4ada-a862-6ce6e8c09316,Workday,2023-04-01,2022-10-01,6230000.0,39307624.13,34905955.16,4401668.98,EBITDA,11.61,10905646.38,3385003.67,0.0,34905955.16,34905955.16,Q update for Workday,5.0000,Unrealized
b3a61525-7786-49c9-8083-4c2056bdb39f,520092e3-3029-4b4d-9845-0926daf3ef4c,e2f1256a-84c2-4649-bdc8-a33bd4c93c53,Klarna,2023-04-01,2022-10-01,45040000.0,255494640.98,208059073.44,47435567.54,Revenue,5.95,42935873.88,5385059.06,0.0,208059073.44,208059073.44,Q update for Klarna,5.0000,Unrealized
9cd43409-991c-4bb4-8c31-ab486aa3766b,520092e3-3029-4b4d-9845-0926daf3ef4c,8a8aa9a1-68cf-451f-a568-416a65b1b49a,Pinterest,2023-04-01,2023-04-01,13170000.0,90104640.84,56330699.87,33773940.97,Revenue,12.96,6950000.0,1206073.59,0.0,56330699.87,56330699.87,Q update for Pinterest,5.0000,Unrealized
878135a8-c1b6-4cfe-8eb2-f814a551ac2f,8a863762-ba92-42e4-a04c-cad33b42d66c,2c3819c7-9805-4ada-a862-6ce6e8c09316,Workday,2023-07-01,2022-10-01,6230000.0,35178914.4,24062516.21,11116398.19,EBITDA,12.17,11226840.13,2890917.69,0.0,24062516.21,24062516.21,Q update for Workday,5.0000,Unrealized
5318d1e0-c331-444b-8242-bcc500383a09,8a863762-ba92-42e4-a04c-cad33b42d66c,e2f1256a-84c2-4649-bdc8-a33bd4c93c53,Klarna,2023-07-01,2022-10-01,45040000.0,307477535.57,239486108.24,67991427.33,Revenue,6.66,46179658.24,10756684.45,0.0,239486108.24,239486108.24,Q update for Klarna,5.0000,Unrealized
e83b7ddd-87dc-4e69-be06-afc61bb13cd9,8a863762-ba92-42e4-a04c-cad33b42d66c,8a8aa9a1-68cf-451f-a568-416a65b1b49a,Pinterest,2023-07-01,2023-04-01,13170000.0,96564459.83,52895148.88,43669310.95,Revenue,13.76,7018193.4,1626534.65,0.0,52895148.88,52895148.88,Q update for Pinterest,5.0000,Unrealized
8acc4645-8da0-47eb-9afb-8341819dd9bf,8a863762-ba92-42e4-a04c-cad33b42d66c,632e2097-d93a-4239-aada-ef808f225cad,Anthropic,2023-07-01,2023-07-01,23700000.0,324540.75,174861.38,149679.37,EBITDA,4.7,630000.0,69006.21,0.0,174861.38,174861.38,Q update for Anthropic,-1.0000,Unrealized
e5a0222a-8e5a-4d37-a4fb-e29249a9542a,1b46661e-2db9-40f9-868f-cf986a6d4eb4,2c3819c7-9805-4ada-a862-6ce6e8c09316,Workday,2023-10-01,2022-10-01,6230000.0,39548097.68,32027076.73,7521020.95,EBITDA,12.01,10196132.35,3292465.6,0.0,32027076.73,32027076.73,Q update for Workday,4.1466,Unrealized
90050cdf-e2ae-447c-94aa-85ccecbff500,1b46661e-2db9-40f9-868f-cf986a6d4eb4,e2f1256a-84c2-4649-bdc8-a33bd4c93c53,Klarna,2023-10-01,2022-10-01,45040000.0,317144792.36,194341502.32,122803290.04,Revenue,6.85,46309577.85,10563222.14,0.0,194341502.32,194341502.32,Q update for Klarna,3.3192,Unrealized
785cb7b7-71d2-4112-b6a8-84a3b7f752e8,1b46661e-2db9-40f9-868f-cf986a6d4eb4,8a8aa9a1-68cf-451f-a568-416a65b1b49a,Pinterest,2023-10-01,2023-04-01,15770000.0,94936313.7,65039277.68,29897036.02,Revenue,12.89,7367650.06,2248752.36,0.0,65039277.68,65039277.68,Q update for Pinterest,5.0000,Unrealized
0169e96b-6b6c-415f-a277-51e61153df53,1b46661e-2db9-40f9-868f-cf986a6d4eb4,632e2097-d93a-4239-aada-ef808f225cad,Anthropic,2023-10-01,2023-07-01,23700000.0,403522.5,357635.73,45886.77,EBITDA,4.14,661394.77,97407.64,0.0,357635.73,357635.73,Q update for Anthropic,-1.0000,Unrealized
ca5f0a7b-5e18-4e1a-8219-ffc75a7e6168,7b36c643-ea4b-4917-a059-d81606ee4dde,2c3819c7-9805-4ada-a862-6ce6e8c09316,Workday,2024-01-01,2022-10-01,8360000.0,19556733.76,16794016.5,2762717.25,EBITDA,12.76,11062446.66,1532407.75,0.0,16794016.5,16794016.5,Q update for Workday,0.7463,Unrealized
8cf863b5-e5f0-4778-bd92-9dc5002586e3,7b36c643-ea4b-4917-a059-d81606ee4dde,e2f1256a-84c2-4649-bdc8-a33bd4c93c53,Klarna,2024-01-01,2022-10-01,45040000.0,392368515.77,242568810.95,149799704.81,Revenue,7.79,50339855.05,9568517.81,0.0,242568810.95,242568810.95,Q update for Klarna,2.8409,Unrealized
